CommandLine, Time, Executable, Parent PID, PID, User, Privileges
C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe -StartupEvent 360 -InterruptEvent 0 -NGENProcess 334 -Pipe 33c -Comment "NGen Worker Process" , 20231031164044.477988+000 , C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe,4400 , 1660 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe -StartupEvent 368 -InterruptEvent 0 -NGENProcess 2dc -Pipe 228 -Comment "NGen Worker Process" , 20231031164048.095745+000 , C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe,4400 , 5644 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe -StartupEvent 368 -InterruptEvent 0 -NGENProcess 324 -Pipe 36c -Comment "NGen Worker Process" , 20231031164049.112617+000 , C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe,4400 , 3580 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
cscript.exe C:\Users\BULFU\Desktop\blackhat\temp\bhservice_task.vbs , 20231031164049.876909+000 , C:\Windows\system32\cscript.exe,3860 , 2516 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
"C:\Windows\system32\SearchFilterHost.exe" 0 796 800 808 8192 804 780  , 20231031164050.299342+000 , C:\Windows\system32\SearchFilterHost.exe,988 , 5736 , ('NT AUTHORITY', 0, 'SYSTEM') , SeChangeNotifyPrivilege|
C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe -StartupEvent 354 -InterruptEvent 0 -NGENProcess 324 -Pipe 334 -Comment "NGen Worker Process" , 20231031164051.832421+000 , C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe,4400 , 2724 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe -StartupEvent 384 -InterruptEvent 0 -NGENProcess 354 -Pipe 2b4 -Comment "NGen Worker Process" , 20231031164053.394951+000 , None,4400 , 1436 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe -StartupEvent 380 -InterruptEvent 0 -NGENProcess 2b4 -Pipe 2dc -Comment "NGen Worker Process" , 20231031164053.087545+000 , C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe,4400 , 5512 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe -StartupEvent 388 -InterruptEvent 0 -NGENProcess 324 -Pipe 38c -Comment "NGen Worker Process" , 20231031164054.439699+000 , None,4400 , 3136 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe -StartupEvent 388 -InterruptEvent 0 -NGENProcess 380 -Pipe 354 -Comment "NGen Worker Process" , 20231031164053.722074+000 , C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe,4400 , 3772 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
